"month","weather","weather1","weather2","weather3"
4,"Fine","Fine","Rain","Fine"
4,"Fine","Fine","Fine","Rain"
4,"Cloudy","Fine","Fine","Fine"
4,"Fine","Cloudy","Fine","Fine"
4,"Fine","Fine","Cloudy","Fine"
4,"Rain","Fine","Fine","Cloudy"
4,"Fine","Rain","Fine","Fine"
4,"Fine","Fine","Rain","Fine"
4,"Fine","Fine","Fine","Rain"
4,"Fine","Fine","Fine","Fine"
4,"Fine","Fine","Fine","Fine"
4,"Fine","Fine","Fine","Fine"
4,"Fine","Fine","Fine","Fine"
4,"Fine","Fine","Fine","Fine"
5,"Fine","Fine","Fine","Fine"
5,"Fine","Fine","Fine","Fine"
5,"Fine","Fine","Fine","Fine"
5,"Fine","Fine","Fine","Fine"
5,"Fine","Fine","Fine","Fine"
5,"Cloudy","Fine","Fine","Fine"
5,"Cloudy","Cloudy","Fine","Fine"
5,"Fine","Cloudy","Cloudy","Fine"
5,"Fine","Fine","Cloudy","Cloudy"
5,"Rain","Fine","Fine","Cloudy"
5,"Fine","Rain","Fine","Fine"
5,"Cloudy","Fine","Rain","Fine"
5,"Cloudy","Cloudy","Fine","Rain"
5,"Fine","Cloudy","Cloudy","Fine"
5,"Fine","Fine","Cloudy","Cloudy"
5,"Cloudy","Fine","Fine","Cloudy"
5,"Rain","Cloudy","Fine","Fine"
5,"Cloudy","Rain","Cloudy","Fine"
5,"Rain","Cloudy","Rain","Cloudy"
5,"Fine","Rain","Cloudy","Rain"
5,"Fine","Fine","Rain","Cloudy"
5,"Cloudy","Fine","Fine","Rain"
5,"Cloudy","Cloudy","Fine","Fine"
5,"Fine","Cloudy","Cloudy","Fine"
5,"Fine","Fine","Cloudy","Cloudy"
5,"Rain","Fine","Fine","Cloudy"
5,"Cloudy","Rain","Fine","Fine"
5,"Cloudy","Cloudy","Rain","Fine"
5,"Fine","Cloudy","Cloudy","Rain"
5,"Fine","Fine","Cloudy","Cloudy"
5,"Fine","Fine","Fine","Cloudy"
6,"Fine","Fine","Fine","Fine"
6,"Fine","Fine","Fine","Fine"
6,"Fine","Fine","Fine","Fine"
6,"Cloudy","Fine","Fine","Fine"
6,"Fine","Cloudy","Fine","Fine"
6,"Fine","Fine","Cloudy","Fine"
6,"Fine","Fine","Fine","Cloudy"
6,"Rain","Fine","Fine","Fine"
6,"Fine","Rain","Fine","Fine"
6,"Fine","Fine","Rain","Fine"
6,"Fine","Fine","Fine","Rain"
6,"Fine","Fine","Fine","Fine"
6,"Fine","Fine","Fine","Fine"
6,"Cloudy","Fine","Fine","Fine"
6,"Fine","Cloudy","Fine","Fine"
6,"Fine","Fine","Cloudy","Fine"
6,"Cloudy","Fine","Fine","Cloudy"
6,"Fine","Cloudy","Fine","Fine"
6,"Fine","Fine","Cloudy","Fine"
6,"Fine","Fine","Fine","Cloudy"
6,"Fine","Fine","Fine","Fine"
6,"Rain","Fine","Fine","Fine"
6,"Cloudy","Rain","Fine","Fine"
6,"Fine","Cloudy","Rain","Fine"
6,"Rain","Fine","Cloudy","Rain"
6,"Rain","Rain","Fine","Cloudy"
6,"Fine","Rain","Rain","Fine"
6,"Fine","Fine","Rain","Rain"
6,"Fine","Fine","Fine","Rain"
6,"Cloudy","Fine","Fine","Fine"
7,"Cloudy","Cloudy","Fine","Fine"
7,"Fine","Cloudy","Cloudy","Fine"
7,"Fine","Fine","Cloudy","Cloudy"
7,"Cloudy","Fine","Fine","Cloudy"
7,"Cloudy","Cloudy","Fine","Fine"
7,"Fine","Cloudy","Cloudy","Fine"
7,"Fine","Fine","Cloudy","Cloudy"
7,"Rain","Fine","Fine","Cloudy"
7,"Fine","Rain","Fine","Fine"
7,"Fine","Fine","Rain","Fine"
7,"Fine","Fine","Fine","Rain"
7,"Fine","Fine","Fine","Fine"
7,"Fine","Fine","Fine","Fine"
7,"Cloudy","Fine","Fine","Fine"
7,"Fine","Cloudy","Fine","Fine"
7,"Fine","Fine","Cloudy","Fine"
7,"Fine","Fine","Fine","Cloudy"
7,"Cloudy","Fine","Fine","Fine"
7,"Cloudy","Cloudy","Fine","Fine"
7,"Cloudy","Cloudy","Cloudy","Fine"
7,"Fine","Cloudy","Cloudy","Cloudy"
7,"Fine","Fine","Cloudy","Cloudy"
7,"Rain","Fine","Fine","Cloudy"
7,"Rain","Rain","Fine","Fine"
7,"Fine","Rain","Rain","Fine"
7,"Fine","Fine","Rain","Rain"
7,"Fine","Fine","Fine","Rain"
7,"Fine","Fine","Fine","Fine"
7,"Fine","Fine","Fine","Fine"
7,"Fine","Fine","Fine","Fine"
7,"Fine","Fine","Fine","Fine"
8,"Fine","Fine","Fine","Fine"
8,"Fine","Fine","Fine","Fine"
8,"Fine","Fine","Fine","Fine"
8,"Fine","Fine","Fine","Fine"
8,"Fine","Fine","Fine","Fine"
8,"Fine","Fine","Fine","Fine"
8,"Fine","Fine","Fine","Fine"
8,"Fine","Fine","Fine","Fine"
8,"Fine","Fine","Fine","Fine"
8,"Fine","Fine","Fine","Fine"
8,"Rain","Fine","Fine","Fine"
8,"Fine","Rain","Fine","Fine"
8,"Fine","Fine","Rain","Fine"
8,"Fine","Fine","Fine","Rain"
8,"Fine","Fine","Fine","Fine"
8,"Fine","Fine","Fine","Fine"
8,"Fine","Fine","Fine","Fine"
